yyyy-mm-dd,WMT,CLX,JNJ,PG,ROKU,NFLX,GRUB,AMZN,CPB,ZM,GOOGL,MSFT,CHTR,VZ,PTON,UBER,LYFT,SFM,KR,COST,BUD,USO,DJI,SBUX,MCD,DAL,UAL,PLNT,EQX,CCL,HLT,MAR,EXPE,CVS,ANTM,HUM,UNH,DFS,BAC,AXP
2020-03-02,115.8800,172.0100,140.0200,119.5600,114.6700,381.0500,48.5500,1953.9500,47.9800,113.1100,1386.3200,172.7900,497.1300,57.3200,27.9200,32.8500,36.9100,16.6200,29.6800,309.1400,58.6000,9.9200,26703.3203,82.3800,202.5500,47.1600,61.2600,68.4800,7.7200,33.0600,96.4600,122.9600,96.7300,64.0300,271.2700,345.3600,273.1100,67.8800,29.3700,113.8700
2020-02-28,107.6800,159.4200,134.4800,113.2300,113.6700,369.0300,48.1100,1883.7500,45.1200,105.0000,1339.2500,162.0100,493.1700,54.1600,26.6900,33.8700,38.1200,15.9800,28.1300,281.1400,58.3700,9.4500,25409.3594,78.4300,194.1700,46.1300,61.5900,67.4900,7.3000,33.4600,97.2000,124.0000,98.6200,59.1800,257.0900,319.6800,254.9600,65.5800,28.5000,109.9300
2020-02-27,110.4000,168.7000,139.1200,113.5000,110.0300,371.7100,46.1800,1884.3000,45.7000,113.5500,1314.9500,158.1800,508.5500,55.0600,28.7200,32.4500,37.7800,16.4500,28.3600,293.1300,60.2100,9.7800,25766.6406,78.2900,201.0000,48.1900,64.9400,72.0700,8.0800,31.8500,95.8300,119.6400,98.7100,59.3300,257.8600,314.3300,253.9200,66.1800,29.1300,112.8100
2020-02-26,113.7800,168.0300,143.6800,120.1600,112.7100,379.2400,49.3700,1979.5900,46.6400,106.8800,1390.4700,170.1700,518.0900,57.1400,29.1900,34.4500,39.8600,16.1100,28.7500,305.6900,66.2900,10.1900,26957.5898,80.6700,210.1000,49.5900,66.5300,75.7700,8.9800,33.1400,97.9000,120.1900,101.1900,62.6500,268.1500,328.6700,263.0000,69.0000,30.6300,118.5000
2020-02-25,114.3900,167.8500,144.6500,121.4300,118.6700,360.0900,51.9900,1972.7400,47.8800,107.0800,1386.3200,168.0700,517.9900,57.1200,27.1100,35.8900,41.8200,16.7500,29.6700,304.8700,66.9200,10.4000,27081.3594,82.1900,212.1000,50.8900,70.5700,81.1700,8.8100,35.8400,98.8800,124.0800,108.9100,64.3300,267.4000,332.0200,263.3900,69.4900,31.0800,120.9000
2020-02-24,116.3200,167.1900,145.9100,123.3000,116.9900,368.7000,54.5700,2009.2900,48.0200,105.0100,1419.8600,170.8900,528.7000,57.9900,26.5000,38.3100,42.5200,17.3600,30.2700,313.6200,69.3600,10.7400,27960.8008,84.5200,213.5200,54.2300,75.4700,84.2400,9.5900,37.7600,104.0200,134.8300,112.3100,67.9200,277.5000,346.1600,277.7900,73.1500,32.7300,128.1900
2020-02-21,118.5800,164.6400,149.9300,126.7000,119.3800,380.0700,55.9400,2095.9700,47.9600,101.7600,1483.4600,178.5900,535.3400,58.2000,25.4900,40.7200,44.7000,17.9900,30.3100,321.9500,71.6000,11.1600,28992.4102,87.3600,215.8700,57.8700,78.0100,87.5200,9.7000,41.6900,109.5700,143.2400,120.1200,71.5100,294.7100,369.6700,301.4300,75.3200,34.3600,134.9000
2020-02-20,117.6900,164.1700,148.3700,126.5800,124.0800,386.0000,58.2900,2153.1000,47.7400,105.2900,1516.9900,184.4200,539.2200,58.0900,26.9800,40.9200,45.4700,16.0450,29.7800,324.0800,73.2600,11.2800,29219.9805,88.6000,215.0800,58.3800,79.9100,88.0400,9.4900,42.5000,112.0000,146.8400,121.6600,71.9400,293.9400,370.9900,302.1300,75.7900,34.8500,136.5800
2020-02-19,117.6800,164.8400,148.9400,125.4400,126.5600,386.1900,54.5800,2170.2200,47.7900,103.9300,1524.8700,187.2800,542.4600,58.2200,27.1000,41.0500,46.2400,15.8600,29.5400,323.0200,73.6000,11.1800,29348.0293,90.1400,215.6300,58.5100,79.4200,87.8500,9.6300,43.3400,112.6700,147.6300,121.8800,71.7800,304.0600,378.5200,305.3100,75.5600,34.7200,136.9300
2020-02-18,119.6300,164.8200,149.1400,124.8700,127.1500,387.7800,52.1600,2155.6700,48.2000,96.3900,1519.4400,187.2300,537.6000,57.9100,27.0800,40.1800,45.1000,15.9700,29.7100,322.0500,73.5000,10.9500,29232.1895,89.2300,216.1500,58.7200,80.2400,87.9400,9.3200,42.9200,111.9300,144.9400,121.1000,72.0000,302.4500,372.1200,302.1400,75.3500,34.2700,135.6000
2020-02-14,117.8900,164.8300,150.1300,126.1400,130.2500,380.4000,50.3900,2134.8700,48.6400,90.9500,1518.7300,185.3500,534.8900,58.5100,27.6600,39.6600,44.6900,15.4500,28.2300,318.3100,73.4500,10.9500,29398.0801,89.2800,217.0900,58.9000,79.5500,86.4600,8.9000,42.6000,113.2300,144.9000,122.8000,71.3700,297.8200,375.8500,298.7800,76.4200,34.8500,135.8700
2020-02-13,117.4400,164.7700,150.0900,124.9600,139.0500,381.4000,51.1200,2149.8700,48.3600,89.8600,1513.3900,183.7100,534.7300,58.6500,28.8500,40.0900,47.0300,15.4500,28.6300,318.2000,73.7000,10.8400,29423.3105,89.9250,217.4200,59.1300,80.9900,84.5000,8.6400,43.2000,112.9600,146.7200,110.5900,72.0000,298.8700,380.2000,302.2000,76.2000,34.9100,134.4600
2020-02-12,115.8500,164.2300,151.0900,123.4500,138.2900,380.0100,51.8200,2160.0000,48.1800,88.2800,1518.6300,184.7100,534.0000,58.2300,28.3400,41.2500,48.4600,15.4300,28.6900,315.1200,74.0600,10.8100,29551.4199,88.5700,217.4600,59.4700,82.2000,84.6500,8.4300,44.0600,113.7000,150.7800,110.9700,73.7500,296.0000,373.8600,303.4800,76.0400,34.9200,133.2400
2020-02-11,115.4000,164.7600,151.9900,124.1600,137.0000,373.6900,51.8200,2150.8000,48.7300,88.6800,1510.0600,184.4400,530.9400,58.6900,28.6500,41.2700,53.9400,15.1500,28.4400,310.6800,74.0300,10.5000,29276.3398,87.5100,215.7300,58.6600,80.5300,83.1200,8.2600,42.9500,112.9400,147.1900,109.2000,73.8500,279.9100,357.1700,290.7900,75.7500,34.7700,132.6300
2020-02-10,115.2500,167.6600,151.8600,126.1700,132.2100,371.0700,52.8400,2133.9100,48.7000,89.6700,1508.6600,188.7000,530.3400,60.2400,28.6000,40.0100,53.7200,14.7800,28.1400,313.7900,74.5900,10.4200,29276.8203,87.5300,213.2100,57.7100,79.4700,82.8700,8.4400,41.7800,111.3700,145.7300,108.7100,73.2500,276.5500,353.0000,287.0300,75.8300,34.6900,132.2400
2020-02-07,116.4500,166.2300,151.8900,126.0800,124.2500,366.7700,50.5600,2079.2800,48.8800,88.6400,1479.1100,183.8900,525.2100,59.9400,27.8600,40.6300,49.9200,14.9300,27.9600,313.6300,74.8000,10.5800,29102.5098,86.4200,211.6100,57.9200,79.4800,82.5800,8.1800,42.2000,110.8400,144.0700,110.0900,71.5600,276.4800,353.2600,289.2200,75.2900,34.6100,131.8200
2020-02-06,116.3100,165.0700,153.5300,127.1400,126.1600,366.9500,54.6200,2050.2300,48.1600,87.2600,1475.9700,183.6300,526.5600,59.4400,29.0000,37.0900,47.4200,15.1200,28.0500,310.6100,76.5700,10.7400,29379.7695,86.1500,212.8700,58.1800,80.5000,82.3400,8.2800,43.7800,112.7000,146.2200,111.7500,70.8400,282.3300,359.1500,292.4600,76.3500,34.6700,133.2500
2020-02-05,116.8100,165.3400,153.9900,126.8100,125.9400,369.6700,55.6000,2039.8700,49.0000,86.9900,1446.0500,179.9000,522.1800,59.1300,32.7000,36.8100,48.0600,15.3600,28.0800,308.9500,76.6700,10.7000,29290.8496,87.5600,214.3700,58.8900,81.8500,81.6700,8.1800,44.1400,113.2600,147.7100,111.1000,70.5400,287.3300,364.8000,295.7300,77.3800,34.7100,133.6000
2020-02-04,115.2700,163.6200,151.6000,125.6600,131.0300,369.0100,55.9700,2049.6700,48.6600,85.7900,1445.4100,180.1200,531.7500,58.2900,33.4700,38.5300,50.0000,14.5200,27.3900,304.9000,76.2900,10.4400,28807.6309,88.3800,214.6200,57.9300,78.8900,82.6800,8.0100,43.5600,110.9400,147.4000,110.6600,67.8800,273.3700,342.7500,280.8400,75.8000,33.6200,131.8500
2020-02-03,114.2700,155.8400,150.1700,125.1100,127.5000,358.0000,53.7800,2004.2000,48.8700,87.6600,1482.6000,174.3800,532.0500,58.0500,33.3700,37.5900,47.9600,14.8300,26.9800,302.0000,75.0900,10.4900,28399.8105,86.0100,215.1800,56.0400,74.9100,81.5800,8.2400,42.7500,107.8500,141.4800,107.8000,66.9300,266.4300,333.0900,274.0200,75.0900,32.9700,131.0000
2020-01-31,114.4900,157.3100,148.8700,124.6200,120.9500,345.0900,54.1500,2008.7200,48.3900,76.3000,1432.7800,170.2300,517.4600,59.4400,32.3600,36.2900,47.4800,15.6300,26.8600,305.5200,75.3000,10.8400,28256.0293,84.8300,213.9700,55.7400,74.8000,80.7900,8.4100,43.5300,107.8000,140.0600,108.4500,67.8200,265.2800,336.2400,272.4500,75.1300,32.8300,129.8700
2020-01-30,116.5800,155.8600,150.3600,125.9500,130.6400,347.7400,55.9000,1870.6800,49.0300,74.5400,1454.2500,172.7800,492.9800,59.3600,32.2600,36.6800,47.7900,15.7900,27.5500,309.4700,76.1700,11.0800,28859.4395,85.8400,216.1800,57.1000,77.7500,81.4200,8.3900,44.7500,109.0700,143.3100,109.1000,69.7100,265.8900,343.2400,280.9800,76.3700,33.4800,133.2200
2020-01-29,115.8900,155.2100,150.5400,125.0600,128.8800,343.1600,56.3000,1858.0000,48.3400,73.5800,1456.7000,168.0400,490.7400,59.5300,31.5000,36.9900,46.8400,15.7100,27.4500,309.5800,75.9700,11.1600,28734.4492,86.7200,214.4400,56.6500,75.2100,80.2500,8.3200,46.5000,110.0100,142.6100,109.5500,70.5500,272.9100,351.5700,282.9000,75.8000,33.0100,131.6800
2020-01-28,116.6000,156.0700,149.5000,126.0300,129.6100,348.5200,57.2000,1853.2500,48.8800,71.5100,1450.5000,165.4600,499.3400,60.7000,31.3800,37.0100,48.2100,16.3400,28.3300,310.8500,76.2600,11.2500,28722.8496,88.6000,210.3900,57.4800,77.0500,79.7000,8.2600,46.5000,107.8600,141.2500,109.1100,71.8200,290.3200,352.8500,285.8700,75.2300,33.2400,132.4500
2020-01-27,115.8600,159.9600,148.7500,125.6900,126.2100,342.8800,56.9000,1828.3400,48.7700,70.4400,1431.7300,162.2800,504.0800,59.9100,31.2500,36.3000,47.3600,16.5800,28.3300,309.4500,75.5800,11.1000,28535.8008,88.7300,209.3400,56.8300,77.6300,78.5400,8.2900,45.2700,104.9400,138.0000,109.0800,70.9700,283.7900,346.9100,284.0900,73.9100,32.8500,130.6400
2020-01-24,114.3700,158.2800,148.3200,125.1400,130.0900,353.1600,58.5700,1861.6400,48.7900,73.0000,1466.1700,165.0400,504.6700,60.2800,30.5000,36.8000,48.4300,17.0300,28.1900,310.5100,77.7400,11.4300,28989.7305,92.0300,211.2400,58.8100,81.9000,78.5200,8.4200,47.5200,108.4900,141.0200,112.1400,71.4300,297.2800,356.9000,292.8100,76.2900,33.5400,135.1100
2020-01-23,115.8100,159.0700,148.5300,124.9900,134.0700,349.6000,57.7400,1884.5800,48.9600,74.4700,1484.6900,166.7200,513.1400,60.5100,30.0600,37.4000,48.4800,17.2900,28.4400,312.8800,78.2600,11.6600,29160.0898,93.7500,213.4200,60.2700,84.8800,78.1500,8.3800,49.4500,110.9600,144.9600,113.7300,73.5300,304.4000,363.5800,299.4600,85.8500,34.1200,131.3700
2020-01-22,116.1000,159.6300,148.2500,126.3100,132.4300,326.0000,56.3700,1887.4600,48.5700,75.6100,1484.1700,165.7000,510.7600,60.4800,30.6800,37.0400,47.4700,17.3100,28.3700,311.8900,78.1100,11.9000,29186.2695,92.5300,211.4400,59.6400,83.3400,79.0600,8.2900,49.8800,110.8500,144.1200,110.0300,74.0100,303.5100,365.7200,300.5900,85.3400,34.3600,131.4900
