yyyy-mm-dd,WMT,CLX,JNJ,PG,ROKU,CHTR,VZ,PTON,UBER,LYFT,SFM,KR,NFLX,GRUB,AMZN,CPB,ZM,MSFT,COST,BUD,USO,DJI,SBUX,MCD,DAL,UAL,PLNT,EQX,CCL,HLT,MAR,EXPE,CVS,ANTM
2020-02-13,117.4400,164.7700,150.0900,124.9600,139.0500,534.7300,58.6500,28.8500,40.0900,47.0300,15.4500,28.6300,381.4000,51.1200,2149.8700,48.3600,89.8600,183.7100,318.2000,73.7000,10.8400,29423.3105,89.9250,217.4200,59.1300,80.9900,84.5000,8.6400,43.2000,112.9600,146.7200,110.5900,72.0000,298.8700
2020-02-12,115.8500,164.2300,151.0900,123.4500,138.2900,534.0000,58.2300,28.3400,41.2500,48.4600,15.4300,28.6900,380.0100,51.8200,2160.0000,48.1800,88.2800,184.7100,315.1200,74.0600,10.8100,29551.4199,88.5700,217.4600,59.4700,82.2000,84.6500,8.4300,44.0600,113.7000,150.7800,110.9700,73.7500,296.0000
2020-02-11,115.4000,164.7600,151.9900,124.1600,137.0000,530.9400,58.6900,28.6500,41.2700,53.9400,15.1500,28.4400,373.6900,51.8200,2150.8000,48.7300,88.6800,184.4400,310.6800,74.0300,10.5000,29276.3398,87.5100,215.7300,58.6600,80.5300,83.1200,8.2600,42.9500,112.9400,147.1900,109.2000,73.8500,279.9100
2020-02-10,115.2500,167.6600,151.8600,126.1700,132.2100,530.3400,60.2400,28.6000,40.0100,53.7200,14.7800,28.1400,371.0700,52.8400,2133.9100,48.7000,89.6700,188.7000,313.7900,74.5900,10.4200,29276.8203,87.5300,213.2100,57.7100,79.4700,82.8700,8.4400,41.7800,111.3700,145.7300,108.7100,73.2500,276.5500
2020-02-07,116.4500,166.2300,151.8900,126.0800,124.2500,525.2100,59.9400,27.8600,40.6300,49.9200,14.9300,27.9600,366.7700,50.5600,2079.2800,48.8800,88.6400,183.8900,313.6300,74.8000,10.5800,29102.5098,86.4200,211.6100,57.9200,79.4800,82.5800,8.1800,42.2000,110.8400,144.0700,110.0900,71.5600,276.4800
2020-02-06,116.3100,165.0700,153.5300,127.1400,126.1600,526.5600,59.4400,29.0000,37.0900,47.4200,15.1200,28.0500,366.9500,54.6200,2050.2300,48.1600,87.2600,183.6300,310.6100,76.5700,10.7400,29379.7695,86.1500,212.8700,58.1800,80.5000,82.3400,8.2800,43.7800,112.7000,146.2200,111.7500,70.8400,282.3300
2020-02-05,116.8100,165.3400,153.9900,126.8100,125.9400,522.1800,59.1300,32.7000,36.8100,48.0600,15.3600,28.0800,369.6700,55.6000,2039.8700,49.0000,86.9900,179.9000,308.9500,76.6700,10.7000,29290.8496,87.5600,214.3700,58.8900,81.8500,81.6700,8.1800,44.1400,113.2600,147.7100,111.1000,70.5400,287.3300
2020-02-04,115.2700,163.6200,151.6000,125.6600,131.0300,531.7500,58.2900,33.4700,38.5300,50.0000,14.5200,27.3900,369.0100,55.9700,2049.6700,48.6600,85.7900,180.1200,304.9000,76.2900,10.4400,28807.6309,88.3800,214.6200,57.9300,78.8900,82.6800,8.0100,43.5600,110.9400,147.4000,110.6600,67.8800,273.3700
2020-02-03,114.2700,155.8400,150.1700,125.1100,127.5000,532.0500,58.0500,33.3700,37.5900,47.9600,14.8300,26.9800,358.0000,53.7800,2004.2000,48.8700,87.6600,174.3800,302.0000,75.0900,10.4900,28399.8105,86.0100,215.1800,56.0400,74.9100,81.5800,8.2400,42.7500,107.8500,141.4800,107.8000,66.9300,266.4300
2020-01-31,114.4900,157.3100,148.8700,124.6200,120.9500,517.4600,59.4400,32.3600,36.2900,47.4800,15.6300,26.8600,345.0900,54.1500,2008.7200,48.3900,76.3000,170.2300,305.5200,75.3000,10.8400,28256.0293,84.8300,213.9700,55.7400,74.8000,80.7900,8.4100,43.5300,107.8000,140.0600,108.4500,67.8200,265.2800
2020-01-30,116.5800,155.8600,150.3600,125.9500,130.6400,492.9800,59.3600,32.2600,36.6800,47.7900,15.7900,27.5500,347.7400,55.9000,1870.6800,49.0300,74.5400,172.7800,309.4700,76.1700,11.0800,28859.4395,85.8400,216.1800,57.1000,77.7500,81.4200,8.3900,44.7500,109.0700,143.3100,109.1000,69.7100,265.8900
2020-01-29,115.8900,155.2100,150.5400,125.0600,128.8800,490.7400,59.5300,31.5000,36.9900,46.8400,15.7100,27.4500,343.1600,56.3000,1858.0000,48.3400,73.5800,168.0400,309.5800,75.9700,11.1600,28734.4492,86.7200,214.4400,56.6500,75.2100,80.2500,8.3200,46.5000,110.0100,142.6100,109.5500,70.5500,272.9100
2020-01-28,116.6000,156.0700,149.5000,126.0300,129.6100,499.3400,60.7000,31.3800,37.0100,48.2100,16.3400,28.3300,348.5200,57.2000,1853.2500,48.8800,71.5100,165.4600,310.8500,76.2600,11.2500,28722.8496,88.6000,210.3900,57.4800,77.0500,79.7000,8.2600,46.5000,107.8600,141.2500,109.1100,71.8200,290.3200
